Generation;Generation max fitness;Generation min fitness;Generation average fitness;Global max fitness
3770;8433;8360;8426.666666666666;8433
3780;8433;8296;8422.933333333332;8433
3790;8433;8384;8425.9;8433
3800;8433;8313;8422.633333333333;8433
3810;8433;8295;8412.0;8433
3820;8434;8193;8419.833333333334;8434
3830;8435;8286;8422.233333333334;8434
3840;8435;8435;8435.0;8435
3850;8435;8220;8417.3;8435
3860;8435;8321;8424.466666666667;8435
3870;8439;8252;8418.3;8435
3880;8439;8357;8435.1;8439
3890;8439;8160;8411.733333333334;8439
3900;8439;8349;8434.566666666668;8439
3910;8442;8311;8429.666666666666;8442
3920;8442;8353;8434.9;8442
3930;8442;8156;8401.566666666668;8442
3940;8442;8230;8416.633333333333;8442
3950;8451;8275;8431.133333333333;8451
3960;8451;8428;8450.233333333334;8451
3970;8452;8351;8445.433333333332;8452
3980;8458;8453;8457.833333333334;8458
3990;8458;8420;8453.8;8458
4000;8458;8264;8438.133333333333;8458
4010;8458;8322;8450.966666666667;8458
4020;8458;8441;8457.433333333332;8458
4030;8458;8334;8448.666666666666;8458
4040;8458;8297;8449.166666666666;8458
4050;8458;8427;8456.0;8458
4060;8479;8475;8478.866666666667;8479
4070;8479;8445;8477.466666666667;8479
4080;8479;8479;8479.0;8479
4090;8479;8375;8463.966666666667;8479
4100;8479;8430;8475.266666666666;8479
4110;8479;8366;8475.233333333334;8479
4120;8480;8382;8468.466666666667;8480
4130;8480;8329;8459.9;8480
4140;8485;8351;8465.733333333334;8485
4150;8485;8190;8451.433333333332;8485
4160;8485;8303;8460.366666666667;8485
4170;8485;8343;8470.333333333334;8485
4180;8485;8348;8477.1;8485
4190;8485;8332;8457.6;8485
4200;8485;8293;8463.366666666667;8485
4210;8485;8250;8426.366666666667;8485
4220;8485;8078;8429.7;8485
4230;8496;8442;8489.9;8496
4240;8496;8161;8447.066666666668;8496
4250;8496;8333;8470.033333333333;8496
4260;8496;8294;8455.866666666667;8496
4270;8496;8452;8493.8;8496
4280;8496;8105;8463.766666666666;8496
4290;8496;8298;8462.7;8496
4300;8496;8414;8488.933333333332;8496
4310;8496;8486;8495.533333333333;8496
4320;8496;8476;8495.166666666666;8496
4330;8496;8348;8478.966666666667;8496
4340;8500;8460;8496.9;8500
4350;8500;8379;8491.233333333334;8500
4360;8500;8320;8491.1;8500
4370;8500;8436;8491.5;8500
